name,execution_time,lower_bound,status,nodes
ta001,0.003129243850708008,1278.0,2,85
ta002,0.40607595443725586,1359.0,2,26019
ta003,0.0017132759094238281,1081.0,2,21
ta004,0.0040361881256103516,1293.0,2,16
ta005,0.8695144653320312,1235.0,2,82199
ta006,0.0037186145782470703,1195.0,2,58
ta007,0.0005791187286376953,1234.0,2,1
ta008,0.0035500526428222656,1206.0,2,21
ta009,0.0077190399169921875,1230.0,2,454
ta010,0.002219676971435547,1108.0,2,5
ta011,2.934569835662842,1582.0,2,183654
ta012,2.3583567142486572,1659.0,2,109364
ta013,4.998725652694702,1496.0,2,170845
ta014,0.6796607971191406,1377.0,2,41096
ta015,0.6874372959136963,1419.0,2,39934
ta016,0.07769036293029785,1397.0,2,3568
ta017,243.04594469070435,1484.0,2,9857028
ta018,2.6702589988708496,1538.0,2,125451
ta019,0.04107546806335449,1593.0,2,1667
ta020,6.374380826950073,1591.0,2,290443
ta031,0.0042955875396728516,2724.0,2,5
ta032,0.004807710647583008,2834.0,2,10
ta033,0.007858991622924805,2621.0,2,21
ta034,0.00541377067565918,2751.0,2,15
ta035,0.03770923614501953,2863.0,2,240
ta036,0.006871461868286133,2829.0,2,15
ta037,0.004015684127807617,2725.0,2,7
ta038,0.0029430389404296875,2683.0,2,1
ta039,0.009124279022216797,2552.0,2,37
ta040,0.001895904541015625,2782.0,2,2
ta041,5.202709436416626,2991.0,2,80132
ta042,302.8279137611389,2867.0,2,4132883
ta043,235.36113667488098,2839.0,2,4706113
ta044,0.1467576026916504,3063.0,2,1082
ta045,5.105708599090576,2976.0,2,46396
ta046,0.014869451522827148,3006.0,2,77
ta047,201.45029425621033,3093.0,2,1548521
ta048,0.041090965270996094,3037.0,2,287
ta049,2.370567560195923,2897.0,2,29661
ta050,333.0541467666626,3065.0,2,5792698
