name,neh,neh_ls,multistart,iga
dfm-001-20-7x7,1521,1521,1500,1488
dfm-002-20-7x7,1412,1378,1355,1355
dfm-003-20-7x7,1584,1532,1518,1512
dfm-004-20-7x7,1478,1434,1416,1410
dfm-005-20-7x7,1476,1403,1359,1359
dfm-006-20-7x7,1460,1435,1409,1409
dfm-007-20-7x7,1582,1497,1459,1461
dfm-008-20-7x7,1350,1314,1310,1310
dfm-009-20-7x7,1502,1494,1464,1463
dfm-010-20-7x7,1461,1452,1401,1395
dfm-011-20-10x10,1759,1726,1653,1651
dfm-012-20-10x10,1698,1673,1606,1607
dfm-013-20-10x10,1699,1699,1657,1646
dfm-014-20-10x10,1633,1580,1558,1545
dfm-015-20-10x10,1681,1660,1612,1610
dfm-016-20-10x10,1668,1659,1608,1608
dfm-017-20-10x10,1708,1702,1641,1641
dfm-018-20-10x10,1711,1641,1603,1599
dfm-019-20-10x10,1790,1770,1692,1678
dfm-020-20-10x10,1665,1654,1597,1597
dfm-021-20-15x15,2125,2107,2053,2055
dfm-022-20-15x15,2119,2078,2029,2029
dfm-023-20-15x15,2138,2100,2045,2038
dfm-024-20-15x15,2131,2070,2038,2038
dfm-025-20-15x15,2046,1992,1973,1975
dfm-026-20-15x15,2043,1993,1951,1942
dfm-027-20-15x15,2088,2052,2009,2009
dfm-028-20-15x15,2144,2100,2072,2058
dfm-029-20-15x15,2090,2079,2029,2029
dfm-030-20-15x15,2185,2164,2093,2080
dfm-031-50-7x7,3136,3127,3028,3022
dfm-032-50-7x7,3055,3024,2974,2974
dfm-033-50-7x7,3142,3116,3092,3092
dfm-034-50-7x7,3023,3006,2947,2947
dfm-035-50-7x7,2868,2822,2768,2756
dfm-036-50-7x7,3176,3098,3098,3098
dfm-037-50-7x7,3163,3142,3109,3119
dfm-038-50-7x7,3226,3163,3111,3111
dfm-039-50-7x7,3169,3130,3051,3049
dfm-040-50-7x7,3120,3120,3023,3023
dfm-041-50-10x10,3520,3472,3385,3385
dfm-042-50-10x10,3285,3224,3155,3142
dfm-043-50-10x10,3268,3210,3132,3116
dfm-044-50-10x10,3412,3357,3274,3255
dfm-045-50-10x10,3298,3241,3237,3237
dfm-046-50-10x10,3265,3235,3188,3139
dfm-047-50-10x10,3310,3270,3266,3242
dfm-048-50-10x10,3192,3108,3078,3032
dfm-049-50-10x10,3466,3352,3275,3275
dfm-050-50-10x10,3316,3254,3223,3223
dfm-051-50-15x15,3823,3794,3657,3595
dfm-052-50-15x15,3831,3771,3668,3608
dfm-053-50-15x15,3773,3755,3642,3595
dfm-054-50-15x15,3622,3616,3512,3447
dfm-055-50-15x15,3805,3724,3630,3608
dfm-056-50-15x15,3827,3732,3657,3642
dfm-057-50-15x15,3878,3781,3688,3638
dfm-058-50-15x15,3876,3800,3724,3700
dfm-059-50-15x15,3749,3731,3610,3565
dfm-060-50-15x15,3743,3703,3639,3609
