name,execution_time,upper_bound,lower_bound,gap,status,nodes
ta001,0.007529497146606445,1278.0,1278.0,0.0,2,144
ta002,0.61484694480896,1359.0,1359.0,0.0,2,26033
ta003,0.007960319519042969,1081.0,1081.0,0.0,2,203
ta004,0.005522489547729492,1293.0,1293.0,0.0,2,129
ta005,0.7861778736114502,1235.0,1235.0,0.0,2,82432
ta006,0.016437053680419922,1195.0,1195.0,0.0,2,264
ta007,0.04290509223937988,1234.0,1234.0,0.0,2,1193
ta008,0.007736921310424805,1206.0,1206.0,0.0,2,79
ta009,0.024105548858642578,1230.0,1230.0,0.0,2,1882
ta010,0.0026755332946777344,1108.0,1108.0,0.0,2,22
ta011,2.944079637527466,1582.0,1582.0,0.0,2,192410
ta012,4.640516519546509,1659.0,1659.0,0.0,2,295715
ta013,7.775461196899414,1496.0,1496.0,0.0,2,571310
ta014,0.8328619003295898,1377.0,1377.0,0.0,2,59579
ta015,1.4481608867645264,1419.0,1419.0,0.0,2,103157
ta016,2.650493621826172,1397.0,1397.0,0.0,2,194762
ta018,6.085022449493408,1538.0,1538.0,0.0,2,408282
ta019,0.8776593208312988,1593.0,1593.0,0.0,2,65932
ta020,11.096946954727173,1591.0,1591.0,0.0,2,577052
